Grade Level Range,Math Topic,Specific Objective,Written Story,Video,Lesson Plan,BWE Topic
,Addition,Simple addition word problems,"=HYPERLINK(""https://drive.google.com/open?id=0B9q-Bz2y-5byMzduanhoQzMwUUk"",""I Am Touhid"")","=HYPERLINK(""https://vimeo.com/143534387"",""I am Touhid"")",Coming soon,Education
2nd-4th,Addition & subtraction,Strategies for adding two and three digit numbers,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1d2tBMVh5dnJiX28/view"",""Reginah Collects Water"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1MXp1TEdmYUNpV2s/view?usp=sharing"",""Water Walks"")",Water
2nd-4th,Addition & subtraction,Adding with regrouping within 1000,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VDNEVW5MWUsxenc/view"",""Mario's Routine"")","=HYPERLINK(""https://vimeo.com/betterworlded/mario"",""I am Mario"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1anNoR2NYbG5zVXM/view?usp=sharing"",""Our Day-to-Day"")","Humanity, Stuff"
2nd-4th,Addition & subtraction,Using regrouping to subtract within 1000,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VDNEVW5MWUsxenc/view"",""Mario's Routine"")","=HYPERLINK(""https://vimeo.com/betterworlded/mario"",""I am Mario"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1anNoR2NYbG5zVXM/view?usp=sharing"",""Our Day-to-Day"")","Humanity, Stuff"
2nd-4th,Addition & subtraction,Addition and subtraction missing value problems,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VDNEVW5MWUsxenc/view"",""Mario's Routine"")","=HYPERLINK(""https://vimeo.com/betterworlded/mario"",""I am Mario"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1anNoR2NYbG5zVXM/view?usp=sharing"",""Our Day-to-Day"")","Humanity, Stuff"
2nd-4th,Addition & subtraction,Using regrouping to subtract within 1000,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1b1FMWHRpNEpTbFk/view?usp=sharing"",""James as a Safari Guide"")","=HYPERLINK(""https://vimeo.com/betterworlded/james"",""I am James"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1YmotYlJHNFRNRTQ/view?usp=sharing"",""I am Me"")",Humanity
2nd-4th,Addition & subtraction,Strategies for adding two and three digit numbers,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1b1FMWHRpNEpTbFk/view?usp=sharing"",""James as a Safari Guide"")","=HYPERLINK(""https://vimeo.com/betterworlded/james"",""I am James"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1YmotYlJHNFRNRTQ/view?usp=sharing"",""I am Me"")",Humanity
2nd-4th,Addition & subtraction,Adding with regrouping within 1000,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1b1FMWHRpNEpTbFk/view?usp=sharing"",""James as a Safari Guide"")","=HYPERLINK(""https://vimeo.com/betterworlded/james"",""I am James"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1YmotYlJHNFRNRTQ/view?usp=sharing"",""I am Me"")",Humanity
2nd-4th,Addition & Subtraction,Addition and subtraction missing value problems,"=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKSzM3c2JXMTZMUE0"",""I am Johnfreeco"")","=HYPERLINK(""https://vimeo.com/199183701"",""I am Johnfreeco"")","=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKandCN1huODdQTm8"",""My Country, My Growth"")",Humanity
,Algebra,Constructing and solving algebraic equations with 2 unknowns,"=HYPERLINK(""https://drive.google.com/open?id=0B9q-Bz2y-5byeGJSSUxMSzZlNUE"",""I Am Baby"")","=HYPERLINK(""https://vimeo.com/140413594"",""I Am Baby"")","=HYPERLINK(""https://drive.google.com/file/d/0B3wl5qjmTQ_uWVBUN3ZfMll4Wlk/view"",""Attitude of Gratitude"")",Humanity
,Algebra,Construct and solve algebraic equations,"=HYPERLINK(""https://drive.google.com/open?id=0B9q-Bz2y-5byQld0MU5JVEZ1ZDg"",""I Am Mrs. N"")","=HYPERLINK(""https://vimeo.com/140941205"",""I Am Mrs N // Teaching & Transformation"")","=HYPERLINK(""https://drive.google.com/file/d/0B3wl5qjmTQ_ubDhnUUtzam1KV1k/view"",""Teacher Empathy"")",Teaching
,Algebra,"Derive, graph and compare y=mx functions (can also explore non linear functions)","=HYPERLINK(""https://drive.google.com/open?id=0B9q-Bz2y-5byNlB3bWlnLUMzZ3c"",""Kavitha Quilts With Baby"")","=HYPERLINK(""https://vimeo.com/140413594"",""I Am Baby"")","=HYPERLINK(""https://drive.google.com/file/d/0B3wl5qjmTQ_uSkNWSzdXX1ZhNUU/view"",""Coining Solutions"")",Business
,Algebra,Constructing and solving algebraic equations with 1 unknown,"=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_ucjBlcTFNS1VNWmM"",""Sajid Goes To Work"")","=HYPERLINK(""https://vimeo.com/137166585"",""I Am Sajid // Dharavi & Drums"")",Coming soon,Stuff
,Angles,Identify angles,"=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_ublVhZjlxdFQ3X00"",""I Am Sajid"")","=HYPERLINK(""https://vimeo.com/137166585"",""I Am Sajid // Dharavi & Drums"")",Coming soon,Humanity
,Angles,Use a protractor to measure angles,"=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_ublVhZjlxdFQ3X00"",""I Am Sajid"")","=HYPERLINK(""https://vimeo.com/137166585"",""I Am Sajid // Dharavi & Drums"")",Coming soon,Humanity
,Area and Perimeter,Calculate the perimeter of a given shape,"=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_ublVhZjlxdFQ3X00"",""I Am Sajid"")","=HYPERLINK(""https://vimeo.com/137166585"",""I Am Sajid // Dharavi & Drums"")",Coming soon,Humanity
,Area and Perimeter,Solve word problems to calculate area and area per person,"=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_ublVhZjlxdFQ3X00"",""I Am Sajid"")","=HYPERLINK(""https://vimeo.com/137166585"",""I Am Sajid // Dharavi & Drums"")",Coming soon,Humanity
,Area and Perimeter,Compare the area and perimeter of various regular shapes (can use unit squares and grid paper),"=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_uWWZJc1lydzJGNTA"",""I Am Yuvaraaj"")","=HYPERLINK(""https://vimeo.com/137068786"",""I Am Yuvaraaj // Rice & Rhymes"")","=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_ubmJvRmIxTzNpNGs"",""Every Smile Counts"")",Humanity
,Area and Perimeter,Compare areas of irregularshapes  (can use unit squares and grid paper),"=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_uWWZJc1lydzJGNTA"",""I Am Yuvaraaj"")","=HYPERLINK(""https://vimeo.com/137068786"",""I Am Yuvaraaj // Rice & Rhymes"")","=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_ubmJvRmIxTzNpNGs"",""Every Smile Counts"")",Humanity
,Area and Perimeter,Measure the perimeter of irregular shapes (can use thread),"=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_uWWZJc1lydzJGNTA"",""I Am Yuvaraaj"")","=HYPERLINK(""https://vimeo.com/137068786"",""I Am Yuvaraaj // Rice & Rhymes"")","=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_ubmJvRmIxTzNpNGs"",""Every Smile Counts"")",Humanity
,Decimals,Represent decimals as fractions,"=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_udkN2TUw5cGh0bEE"",""I Am Ghani"")","=HYPERLINK(""https://vimeo.com/136279111"",""I Am Ghani // Farming & Family"")","=HYPERLINK(""https://drive.google.com/file/d/0B3wl5qjmTQ_uc1lDQk1CODFjSTA/view"",""It was all a Dream"")",Humanity
,Decimals,Solve unit of measure word problems with decimals,"=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_udkN2TUw5cGh0bEE"",""I Am Ghani"")","=HYPERLINK(""https://vimeo.com/136279111"",""I Am Ghani // Farming & Family"")","=HYPERLINK(""https://drive.google.com/file/d/0B3wl5qjmTQ_uc1lDQk1CODFjSTA/view"",""It was all a Dream"")",Humanity
,Decimals,"Comparing, ordering and perforimg operations","=HYPERLINK(""https://drive.google.com/open?id=0B9q-Bz2y-5byWkNERTVGTGp1eVE"",""Monica Leads"")","=HYPERLINK(""https://vimeo.com/141896885"",""I Am Monica"")",Coming soon,Leadership
,Division,Solve daily life problems with single digit division,"=HYPERLINK(""https://drive.google.com/open?id=0B9q-Bz2y-5bybFdVTmVyX0RnNU0"",""Sastha Visits A Rural Village"")","=HYPERLINK(""https://vimeo.com/140051959"",""I Am Sastha // Sales & Solar"")",Coming soon,Energy
,Fractions,Multiply fractions,"=HYPERLINK(""https://drive.google.com/open?id=0B9q-Bz2y-5byRWZwRHptZmk0eU0"",""Baby And Her Health"")","=HYPERLINK(""https://vimeo.com/140413594"",""I Am Baby"")",Coming soon,Health
,Fractions,Identify fractional parts of a whole or a given set,"=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_uam5Dek5iNFBZbzg"",""Ghani Grows Rice"")","=HYPERLINK(""https://vimeo.com/136279111"",""I Am Ghani // Farming & Family"")","=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_uRkNBWW9kZ1hmX2c"",""A Drop in the Bucket"")",Water
,Fractions,Solve word problems based on fractions,"=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_uam5Dek5iNFBZbzg"",""Ghani Grows Rice"")","=HYPERLINK(""https://vimeo.com/136279111"",""I Am Ghani // Farming & Family"")","=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_uRkNBWW9kZ1hmX2c"",""A Drop in the Bucket"")",Water
,Fractions,Represent fractions and decimals and decimals as fractions,"=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_udkN2TUw5cGh0bEE"",""I Am Ghani"")","=HYPERLINK(""https://vimeo.com/136279111"",""I Am Ghani // Farming & Family"")","=HYPERLINK(""https://drive.google.com/file/d/0B3wl5qjmTQ_uc1lDQk1CODFjSTA/view"",""It was all a Dream"")",Humanity
,Fractions,Compare fractions,"=HYPERLINK(""https://drive.google.com/open?id=0B9q-Bz2y-5byYi1nN0dIRnp4R00"",""Mrs. N Loves To Teach"")","=HYPERLINK(""https://vimeo.com/140941205"",""I Am Mrs N // Teaching & Transformation"")","=HYPERLINK(""https://drive.google.com/file/d/0B3wl5qjmTQ_uUkx6UEI4dTJXOXc/view?usp=drive_web"",""Most Important Job"")",Teaching
,Fractions,Subtract fractions,"=HYPERLINK(""https://drive.google.com/open?id=0B9q-Bz2y-5byYi1nN0dIRnp4R00"",""Mrs. N Loves To Teach"")","=HYPERLINK(""https://vimeo.com/140941205"",""I Am Mrs N // Teaching & Transformation"")","=HYPERLINK(""https://drive.google.com/file/d/0B3wl5qjmTQ_uUkx6UEI4dTJXOXc/view?usp=drive_web"",""Most Important Job"")",Teaching
,Fractions,Create equivalent fractions,"=HYPERLINK(""https://drive.google.com/open?id=0B9q-Bz2y-5byYi1nN0dIRnp4R00"",""Mrs. N Loves To Teach"")","=HYPERLINK(""https://vimeo.com/140941205"",""I Am Mrs N // Teaching & Transformation"")","=HYPERLINK(""https://drive.google.com/file/d/0B3wl5qjmTQ_uUkx6UEI4dTJXOXc/view?usp=drive_web"",""Most Important Job"")",Teaching
2nd-4th,Fractions,Fractions and whole numbers,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1YTFnVm5rWjZKOGs/view?usp=sharing"",""I Am Mario"")","=HYPERLINK(""https://vimeo.com/betterworlded/mario"",""I am Mario"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VUNzS0pQM0NqNzg/view?usp=sharing"",""Resourceful Community"")","Money, Humanity, Stuff"
2nd-4th,Fractions,Equivalent fractions,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1YTFnVm5rWjZKOGs/view?usp=sharing"",""I Am Mario"")","=HYPERLINK(""https://vimeo.com/betterworlded/mario"",""I am Mario"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VUNzS0pQM0NqNzg/view?usp=sharing"",""Resourceful Community"")","Money, Humanity, Stuff"
2nd-4th,Fractions,Equivalent fractions on the number line,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1YTFnVm5rWjZKOGs/view?usp=sharing"",""I Am Mario"")","=HYPERLINK(""https://vimeo.com/betterworlded/mario"",""I am Mario"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VUNzS0pQM0NqNzg/view?usp=sharing"",""Resourceful Community"")","Money, Humanity, Stuff"
2nd-4th,Fractions,Comparing fractions of different wholes,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1MTVuVkhUamxiR3M/view"",""Mario Repurposes Bikes"")","=HYPERLINK(""https://vimeo.com/betterworlded/mario"",""I am Mario"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1T1JFOF9ZUjhORGc/view?usp=sharing"",""Creative Design"")","Stuff, Energy, Business"
2nd-4th,Fractions,Fractions and whole numbers,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VVJNT0hDbnVKT2c/view?usp=sharing"",""I am James"")","=HYPERLINK(""https://vimeo.com/betterworlded/james"",""I am James"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1T2hoekU0LVA3NDg/view?usp=sharing"",""Positive Attitude"")",Humanity
2nd-4th,Fractions,Comparing fractions of different wholes,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1ckw5QlVZdE0wZFk/view?usp=sharing"",""James Knows the Maaasai Mara"")","=HYPERLINK(""https://vimeo.com/betterworlded/james"",""I am James"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1aGVJZ0d2a0o3MnM/view?usp=sharing"",""Circle of Life"")",Universe
2nd-4th,Fractions,Compare fractions,"=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKSGN6UF9WT3JxQ2M"",""I am Diana"")","=HYPERLINK(""https://vimeo.com/199112379"",""I am Diana"")","=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKT0RjcUhPNU1SRGc"",""Finding Refuge"")",Humanity
2nd-4th,Fractions,Compare Fractions,"=HYPERLINK(""https://drive.google.com/file/d/0B8yLLWsIbGC-cVVPQU5aS0xzSzZxNk5zM0hETGhYczlLaXUw/view?usp=sharing"",""David Learns and Teaches "")","=HYPERLINK(""https://vimeo.com/185413649"","" I am David"")","=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKVWhxRkwxNkw1N2c"",""Learning by Teaching"")",Education
2nd-4th,Fractions,Comparing fractions of different wholes,"=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKSTNRZzA2bmZCdEE"",""Diana and Shifting Communities"")","=HYPERLINK(""https://vimeo.com/199112379"",""I am Diana"")","=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKZUlHejduQkJPZ0k"",""Changing Places & Spaces"")",Humanity
2nd-4th,Fractions,Fractions on the number line,"=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKUkJfck1zSlBmaW8"",""Johnfreeco and Family Decisions"")","=HYPERLINK(""https://vimeo.com/199183701"",""I am Johnfreeco"")","=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKdUZ2T1I0dEg2Y28"",""Time in Perspective"")",Universe
2nd-4th,Fractions,Equivalent fractions on the number line,"=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKTTl3MmlJZzlpZFE"",""Shah Reh and Loyalty"")","=HYPERLINK(""https://vimeo.com/199183718"",""I am Shah Reh"")","=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKRGRqODM0dlpHVGc"",""What's Your Reason"")",Leadership
2nd-4th,Fractions,Fractions on the number line,"=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKZTNjb29fbXVGRW8"",""Shah Reh and Global Access"")","=HYPERLINK(""https://vimeo.com/199183718"",""I am Shah Reh"")","=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKZDkxQjkxVEQzT3M"",""Making Moves"")",Humanity
2nd-4th,Fractions,Equivalent fractions ,"=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKZTNjb29fbXVGRW8"",""Shah Reh and Global Access"")","=HYPERLINK(""https://vimeo.com/199183718"",""I am Shah Reh"")","=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKZDkxQjkxVEQzT3M"",""Making Moves"")",Humanity
,Length,Solve word problems related to speed / distance / time,"=HYPERLINK(""https://drive.google.com/open?id=0B3wl5qjmTQ_ucGNEUnZtQ0l4VlE"",""I Am Shantanu"")","=HYPERLINK(""https://vimeo.com/137697918"",""I Am Shantanu // Chai & Community"")",Coming soon,Humanity
2nd-4th,Measurement & Geometry,Count unit squares to find area,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VThxYjk1TmZuclE/view"",""I am Reginah"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1OHdSdk54YThFWlE/view?usp=sharing"",""It's My Norm"")",Humanity
2nd-4th,Measurement & Geometry,Area formula intuition,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VThxYjk1TmZuclE/view"",""I am Reginah"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1OHdSdk54YThFWlE/view?usp=sharing"",""It's My Norm"")",Humanity
2nd-4th,Measurement & Geometry,Multiply to find area,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VThxYjk1TmZuclE/view"",""I am Reginah"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1OHdSdk54YThFWlE/view?usp=sharing"",""It's My Norm"")",Humanity
2nd-4th,Measurement & Geometry,Area & the distributive property,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VThxYjk1TmZuclE/view"",""I am Reginah"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1OHdSdk54YThFWlE/view?usp=sharing"",""It's My Norm"")",Humanity
2nd-4th,Measurement & Geometry,Introducing perimeter,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VThxYjk1TmZuclE/view"",""I am Reginah"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1OHdSdk54YThFWlE/view?usp=sharing"",""It's My Norm"")",Humanity
2nd-4th,Measurement & Geometry,Volume,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1d2tBMVh5dnJiX28/view"",""Reginah Collects Water"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1MXp1TEdmYUNpV2s/view?usp=sharing"",""Water Walks"")",Water
2nd-4th,Measurement & Geometry,Decompose figures to find area,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1WXZlV3FEeXd2VHM/view"",""Reginah Journeys to School"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1MlpLSzZQajdMWnM/view?usp=sharing"",""Sky High Dreams"")",Education
2nd-4th,Measurement & Geometry,Comparing area and perimeter,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1WXZlV3FEeXd2VHM/view"",""Reginah Journeys to School"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1MlpLSzZQajdMWnM/view?usp=sharing"",""Sky High Dreams"")",Education
2nd-4th,Measurement & Geometry,Perimeter word problems,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1WXZlV3FEeXd2VHM/view"",""Reginah Journeys to School"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1MlpLSzZQajdMWnM/view?usp=sharing"",""Sky High Dreams"")",Education
2nd-4th,Measurement & Geometry,Mass,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VDNEVW5MWUsxenc/view"",""Mario's Routine"")","=HYPERLINK(""https://vimeo.com/betterworlded/mario"",""I am Mario"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1anNoR2NYbG5zVXM/view?usp=sharing"",""Our Day-to-Day"")","Humanity, Stuff"
2nd-4th,Measurement & Geometry,Mass,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VVJNT0hDbnVKT2c/view?usp=sharing"",""I am James"")","=HYPERLINK(""https://vimeo.com/betterworlded/james"",""I am James"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1T2hoekU0LVA3NDg/view?usp=sharing"",""Positive Attitude"")",Humanity
2nd-4th,Measurement & Geometry,Volume,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1VVJNT0hDbnVKT2c/view?usp=sharing"",""I am James"")","=HYPERLINK(""https://vimeo.com/betterworlded/james"",""I am James"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1T2hoekU0LVA3NDg/view?usp=sharing"",""Positive Attitude"")",Humanity
2nd-4th,Measurement & Geometry,Picture graphs,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1b1FMWHRpNEpTbFk/view?usp=sharing"",""James as a Safari Guide"")","=HYPERLINK(""https://vimeo.com/betterworlded/james"",""I am James"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1YmotYlJHNFRNRTQ/view?usp=sharing"",""I am Me"")",Humanity
2nd-4th,Measurement & Geometry,Line plots,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1ckw5QlVZdE0wZFk/view?usp=sharing"",""James Knows the Maaasai Mara"")","=HYPERLINK(""https://vimeo.com/betterworlded/james"",""I am James"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1aGVJZ0d2a0o3MnM/view?usp=sharing"",""Circle of Life"")",Universe
2nd-4th,Measurement & Geometry,Telling Time,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1SE5kZTFiNjFxZk0/view?usp=sharing"",""I am Daniel"")","=HYPERLINK(""https://vimeo.com/betterworlded/daniel"",""I am Daniel"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1dVdQMnFPU2wtbVE/view?usp=sharing"",""Being Present"")","Health, Humanity"
2nd-4th,Measurement & Geometry,Multiply to find area,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1dVdQMnFPU2wtbVE/view?usp=sharing"",""Daniel Fights Fires"")","=HYPERLINK(""https://vimeo.com/betterworlded/daniel"",""I am Daniel"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1Z0RHU3BTX0NTMVU/view?usp=sharing"",""Silver Lining"")","Health, Stuff"
2nd-4th,Measurement & Geometry,Area and the distributive property,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1dVdQMnFPU2wtbVE/view?usp=sharing"",""Daniel Fights Fires"")","=HYPERLINK(""https://vimeo.com/betterworlded/daniel"",""I am Daniel"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1Z0RHU3BTX0NTMVU/view?usp=sharing"",""Silver Lining"")","Health, Stuff"
2nd-4th,Measurement & Geometry,Decompose figures to find area,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1dVdQMnFPU2wtbVE/view?usp=sharing"",""Daniel Fights Fires"")","=HYPERLINK(""https://vimeo.com/betterworlded/daniel"",""I am Daniel"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1Z0RHU3BTX0NTMVU/view?usp=sharing"",""Silver Lining"")","Health, Stuff"
2nd-4th,Measurement & Geometry,Quadrilaterals,"=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1dVdQMnFPU2wtbVE/view?usp=sharing"",""Daniel Fights Fires"")","=HYPERLINK(""https://vimeo.com/betterworlded/daniel"",""I am Daniel"")","=HYPERLINK(""https://drive.google.com/file/d/0B-03BDwcfBF1Z0RHU3BTX0NTMVU/view?usp=sharing"",""Silver Lining"")","Health, Stuff"
2nd-4th,Measurement & Geometry,Comparing area and perimeter,"=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKSGN6UF9WT3JxQ2M"",""I am Diana"")","=HYPERLINK(""https://vimeo.com/199112379"",""I am Diana"")","=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKT0RjcUhPNU1SRGc"",""Finding Refuge"")",Humanity
2nd-4th,Measurement & Geometry,Perimeter word problems,"=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKSTNRZzA2bmZCdEE"",""Diana and Shifting Communities"")","=HYPERLINK(""https://vimeo.com/199112379"",""I am Diana"")","=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKZUlHejduQkJPZ0k"",""Changing Places & Spaces"")",Humanity
2nd-4th,Measurement & Geometry,Line plots,"=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKSzM3c2JXMTZMUE0"",""I am Johnfreeco"")","=HYPERLINK(""https://vimeo.com/199183701"",""I am Johnfreeco"")","=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKandCN1huODdQTm8"",""My Country, My Growth"")",Humanity
2nd-4th,Measurement & Geometry,Telling time,"=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKUkJfck1zSlBmaW8"",""Johnfreeco and Family Decisions"")","=HYPERLINK(""https://vimeo.com/199183701"",""I am Johnfreeco"")","=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKdUZ2T1I0dEg2Y28"",""Time in Perspective"")",Universe
2nd-4th,Measurement & Geometry,Count unit squares to find area ,"=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKWndYTW9IQXlQUms"",""Johnfreeco and Freedom"")","=HYPERLINK(""https://vimeo.com/199183701"",""I am Johnfreeco"")","=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKd25tOW9CdWJrbGc"",""Framing the Truth"")",Storytelling
2nd-4th,Measurement & Geometry,Area formula intuition ,"=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKWndYTW9IQXlQUms"",""Johnfreeco and Freedom"")","=HYPERLINK(""https://vimeo.com/199183701"",""I am Johnfreeco"")","=HYPERLINK(""https://drive.google.com/open?id=0B1-BHXf-oGuKd25tOW9CdWJrbGc"",""Framing the Truth"")",Storytelling
